date,r
2014-08-25,0.0009046483583265515
2014-08-26,4.080542367723445e-05
2014-08-27,-3.343301601263702e-05
2014-08-28,-0.0002470663693735086
2014-08-29,-2.833426826240061e-05
2014-09-01,4.6900640037609475e-05
2014-09-02,-7.367380827063919e-05
2014-09-03,1.9531120382689826e-05
2014-09-04,-5.9133823476447206e-05
2014-09-05,0.0004269277876216196
2014-09-08,-0.00025366646894641804
2014-09-09,-0.001206531548666165
2014-09-10,0.00044167529442125245
2014-09-11,-0.00027065161244268436
2014-09-12,-0.0004219787770967655
2014-09-15,-0.0006227153598033695
2014-09-16,0.000627913346964665
2014-09-17,0.0006823976240945585
2014-09-18,0.000711786831565818
2014-09-19,0.0004796210279100077
2014-09-22,-0.001059819927306308
2014-09-23,-0.000779342196445228
2014-09-24,0.0005036901201587493
